Item,Value,Year
Net operating revenues,46854,2013
Operating income,10228,2013
Net operating revenues,48017,2012
Operating income,10779,2012
Net operating revenues,46542,2011
Operating income,10173,2011
Net operating revenues,41863,2016
Operating income,8136,2016
Net operating revenues,44294,2015
Operating income,9605,2015
Net operating revenues,45998,2014
Operating income,9325,2014
Net operating revenues,35119,2010
Operating income,8449,2010
Net operating revenues,30990,2009
Operating income,8231,2009
Net operating revenues,36212,2017
Net operating revenues,34300,2018
Net operating revenues,37266,2019
Operating income,1283,2017
Operating income,6476,2018
Operating income,6476,2019
Total assets,90055,2013
Long-term debt,19154,2013
Total assets,86174,2012
Long-term debt,14736,2012
Total assets,79974,2011
Long-term debt,13656,2011
Total assets,87270,2016
Long-term debt,29684,2016
Total assets,89996,2015
Long-term debt,28311,2015
Total assets,91968,2014
Long-term debt,19010,2014
Total assets,72921,2010
Long-term debt,14041,2010
Total assets,48671,2009
Long-term debt,5059,2009
Total assets,87896,2017
Long-term debt,31202,2017
Total assets,83216,2018
Long-term debt,25376,2018
Total assets,86381,2019
Long-term debt,27516,2019
